id,source,content_clean,sentiment_label,emotion_label,business_label,topic,word_count
synth-ada6aea0c8a6,slack,"""Still can't get into the platform, anyone else having issues? It's like we're never going to sync up on this project """,NEGATIVE,frustration,Blocked,team management,22
synth-e178f9c75487,slack,"""Hey team, just got the latest code review numbers from DevOps - we're at 42 of outstanding fixes since the refactor. Need to prioritize getting those back on track ASAP so we don't pile up any more technical debt.""",NEUTRAL,concern,Concern,deployment,39
synth-3e4fb516c6aa,jira,"Il semble qu'on nous tienne pour compte ! Notre équipe de développement doit se réunir d'emblée pour discuter du problème technique qui nous empêche de livrer le module de reconnaissance faciale, car notre version stable est en froid. Je me demande si les tests unitaires sont encore effectués et les tests fonctionnels sont-ils menés ?",NEGATIVE,urgency,Urgent,project update,55
synth-2bb3fc8e2b99,jira,"""Désolé de vous contacter directement, mais nous avons rencontré un problème grave avec notre plateforme d'intelligence d'entreprise. Les escalades client à votre niveau requièrent désormais une intervention directe de votre part. Nous travaillons sur la résolution immédiate, mais nous voudrions discuter des plans de mise en œuvre et des délais attendus avec vous dès que possible.""",NEGATIVE,urgency,Urgent,budget,56
synth-a504ed77d38c,gmail,Je me permets de vous contacter à nouveau suite au retard dans la réponse à notre proposition. Il est désormais passé plus d'une semaine depuis que nous avons envoyé nos documents technique et com,NEGATIVE,frustration,Blocked,deployment,34
synth-7c06f5b58780,gmail,"Bonjour, Je vous appelle au sujet d'une situation qui nécessite notre attention immédiate. Un réunions d'urgence de la Direction est appelée pour discuter du problème de sécurité violé que nous avons détecté chez un client de confiance. Les informations sont très préoccupantes et il est essentiel que nous prenions des mesures décisionnelles sans delay pour protéger les données et prévenir tout réseau éventuel. S'il vous plaît, faites appel à leurs présences dans la salle de réunion dès possible.",NEGATIVE,urgency,Urgent,team management,78
synth-c81f6e495fcb,teams,"C'est tout à fait remarquable ! Notre projet est désormais en phase de déclin et nous sommes réels sur notre objectif de mise en œuvre. Je suis persuadé que nous allons remporter ce projet, cela va falloir maintenant bien se tenir les cordes pour le rendre réussi.",POSITIVE,satisfaction,Progress,deployment,47
synth-79b3764d04ad,jira,"We're seeing a concerning trend with team members taking extended sick days consecutively. This has resulted in significant disruptions to our operations, causing delayed project milestones and impacting downstream teams. We need to identify the root cause of this burnout and implement measures to prevent it from escalating further. Can we schedule an urgent meeting to discuss possible solutions?",NEGATIVE,frustration,Overload,technical issue,59
synth-50ef57b05bfb,gmail,"Bonjour Équipe, Je tiens à vous exprimer mon immense satisfaction pour les résultats obtenus en matière de développement de notre plateforme d'intelligence en cours. Nous avons non seulement atteint mais également dépassé les objectifs fixés, ce qui est un testament à la qualité de votre travail et à l'efficacité de nos processus. Je suis convaincu que cette réussite sera un facteur clé de notre succès futur.",POSITIVE,satisfaction,Progress,deployment,66
synth-0e575b048c5d,slack,"""Team's burnout signal is flashing red - we're running at 80 utilization for the last month. We need to prioritize tasks and delegate more, ASAP.""",NEGATIVE,frustration,Overload,client relations,25
